currency,instrument,fx_business_date,london_date,hour,price_taker,market_maker,buy_ccy,sell_ccy,buy_volume_matched,sell_volume_matched,buy_trade_count_matched,sell_trade_count_matched,buy_volume_total,sell_volume_total,buy_trade_count_total,sell_trade_count_total
USDJPY,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,USD,JPY,0.0,0.0,0,0,0.0,0.0,0,0
USDKRW,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,USD,KRW,0.0,0.0,0,0,0.0,0.0,0,0
USDKRW,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,USD,KRW,0.0,0.0,0,0,0.0,0.0,0,0
USDKRW,SPT,2018-01-02,2018-01-01,22,Fund,Bank,USD,KRW,0.0,0.0,0,0,0.0,0.0,0,0
USDKRW,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,USD,KRW,0.0,0.0,0,0,0.0,0.0,0,0
USDMXN,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,USD,MXN,0.0,0.0,0,0,0.0,0.0,0,0
USDMXN,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,USD,MXN,0.0,0.0,0,0,0.0,0.0,0,0
USDMXN,SPT,2018-01-02,2018-01-01,22,Fund,Bank,USD,MXN,0.0,0.0,0,0,0.0,0.0,0,0
USDMXN,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,USD,MXN,0.0,0.0,0,0,0.0,0.0,0,0
USDNOK,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,USD,NOK,0.0,0.0,0,0,0.0,0.0,0,0
USDNOK,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,USD,NOK,0.0,0.0,0,0,0.0,0.0,0,0
USDNOK,SPT,2018-01-02,2018-01-01,22,Fund,Bank,USD,NOK,0.0,0.0,0,0,0.0,0.0,0,0
USDNOK,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,USD,NOK,0.0,0.0,0,0,0.0,0.0,0,0
USDSEK,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,USD,SEK,0.0,0.0,0,0,0.0,0.0,0,0
USDSEK,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,USD,SEK,0.0,0.0,0,0,0.0,0.0,0,0
USDSEK,SPT,2018-01-02,2018-01-01,22,Fund,Bank,USD,SEK,0.0,0.0,0,0,0.0,0.0,0,0
USDSEK,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,USD,SEK,0.0,0.0,0,0,0.0,0.0,0,0
USDSGD,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,USD,SGD,0.0,0.0,0,0,0.0,0.0,0,0
USDSGD,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,USD,SGD,0.0,0.0,0,0,0.0,0.0,0,0
USDSGD,SPT,2018-01-02,2018-01-01,22,Fund,Bank,USD,SGD,0.0,0.0,0,0,0.0,0.0,0,0
USDSGD,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,USD,SGD,0.0,0.0,0,0,0.0,0.0,0,0
USDZAR,SPT,2018-01-02,2018-01-01,22,BuySide,SellSide,USD,ZAR,2000000.0,0.0,2,0,4000000.0,0.0,4,0
USDZAR,SPT,2018-01-02,2018-01-01,22,Corporate,Bank,USD,ZAR,0.0,0.0,0,0,0.0,0.0,0,0
USDZAR,SPT,2018-01-02,2018-01-01,22,Fund,Bank,USD,ZAR,0.0,0.0,0,0,0.0,0.0,0,0
USDZAR,SPT,2018-01-02,2018-01-01,22,Non-Bank Financial,Bank,USD,ZAR,0.0,0.0,0,0,0.0,0.0,0,0
AUDJPY,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,AUD,JPY,16550000.0,15311000.0,17,22,20220600.0,21481000.0,24,28
AUDJPY,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,AUD,JPY,0.0,0.0,0,0,0.0,0.0,0,0
AUDJPY,SPT,2018-01-02,2018-01-01,23,Fund,Bank,AUD,JPY,1875647.47,0.0,3,0,1875647.47,0.0,3,0
AUDJPY,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,AUD,JPY,0.0,0.0,0,0,0.0,0.0,0,0
AUDNZD,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,AUD,NZD,19037800.0,30487020.08,25,43,31137800.0,40487020.08,36,53
AUDNZD,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,AUD,NZD,0.0,0.0,0,0,0.0,0.0,0,0
AUDNZD,SPT,2018-01-02,2018-01-01,23,Fund,Bank,AUD,NZD,0.0,0.0,0,0,0.0,0.0,0,0
AUDNZD,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,AUD,NZD,,0.0,,0,,0.0,,0
AUDUSD,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,AUD,USD,52403658.73,42276390.0,99,43,88754717.73,72175014.37,140,69
AUDUSD,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,AUD,USD,0.0,0.0,0,0,0.0,0.0,0,0
AUDUSD,SPT,2018-01-02,2018-01-01,23,Fund,Bank,AUD,USD,0.0,0.0,0,0,0.0,,0,
AUDUSD,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,AUD,USD,1663622.0,2267746.0,2,2,2462681.0,2533746.0,4,3
CADJPY,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,CAD,JPY,4052000.0,2146000.0,7,4,4052000.0,3146000.0,7,5
CADJPY,SPT,2018-01-02,2018-01-01,23,Corporate,Bank,CAD,JPY,0.0,0.0,0,0,0.0,0.0,0,0
CADJPY,SPT,2018-01-02,2018-01-01,23,Fund,Bank,CAD,JPY,0.0,0.0,0,0,0.0,0.0,0,0
CADJPY,SPT,2018-01-02,2018-01-01,23,Non-Bank Financial,Bank,CAD,JPY,0.0,0.0,0,0,0.0,0.0,0,0
EURAUD,SPT,2018-01-02,2018-01-01,23,BuySide,SellSide,EUR,AUD,1217000.0,15301000.0,13,11,1310486.36,15321000.0,15,12
